,precision,recall,f1-score,support
0.0,0.6,0.75,0.6666666666666665,4.0
1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.75,0.8571428571428571,4.0
3.0,0.5,0.3333333333333333,0.4,3.0
4.0,0.3333333333333333,0.5,0.4,2.0
5.0,1.0,0.5,0.6666666666666666,2.0
6.0,0.2,0.25,0.22222222222222224,4.0
7.0,1.0,0.3333333333333333,0.5,3.0
8.0,1.0,0.3333333333333333,0.5,3.0
9.0,0.6,0.75,0.6666666666666665,4.0
10.0,0.0,0.0,0.0,3.0
11.0,1.0,0.75,0.8571428571428571,4.0
12.0,0.0,0.0,0.0,3.0
13.0,0.375,0.75,0.5,4.0
14.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
15.0,0.5,0.6666666666666666,0.5714285714285715,3.0
16.0,1.0,0.3333333333333333,0.5,3.0
17.0,0.6666666666666666,0.5,0.5714285714285715,4.0
18.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
19.0,0.5,0.5,0.5,2.0
20.0,0.6,1.0,0.7499999999999999,3.0
21.0,0.25,0.3333333333333333,0.28571428571428575,3.0
22.0,0.0,0.0,0.0,3.0
23.0,0.5,0.5,0.5,2.0
24.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
25.0,0.0,0.0,0.0,3.0
accuracy,0.475,0.475,0.475,0.475
macro avg,0.4983974358974359,0.45512820512820507,0.44117826617826617,80.0
weighted avg,0.5122916666666667,0.475,0.4585813492063493,80.0
0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,22
8,13
9,20
10,6
11,9
12,11
13,9
14,4
15,5
16,6
17,3
18,2
19,13
20,4
21,0
22,9
23,17
24,9
25,4
26,22
27,21
28,23
29,24
30,14
31,23
32,6
33,14
34,20
35,24
36,6
37,19
38,15
39,17
40,16
41,20
42,13
43,15
44,13
45,13
46,13
47,14
48,24
49,0
50,7
51,3
52,21
53,20
54,15
55,6
56,22
57,9
58,14
59,14
60,13
61,2
62,11
63,10
64,0
65,0
66,18
67,20
68,24
69,21
70,24
71,0
72,21
73,8
74,24
75,18
76,15
77,1
78,14
79,19
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
